排名,mat_idx,depth,wall,Q,cost,life,N,n_theory,n_space,T_sea,t_req,corr_allow_mm,mass_kg,材料,D_plus,D_minus,TOPSIS贴近度
64,5,88.4320276010738,0.0042238532595117164,7089806.414586037,169431.96859081433,12.495525830053731,1025,14179.612829172074,1025.8500966862177,21.000536343961905,0.003224211193107418,0.9996420664042985,2196.1461557472694,T2 紫铜,0.06157233896447963,0.05888744816945878,0.4888556552402191
65,5,83.98277622259205,0.004029610892995686,7051937.345771217,163661.1363677087,12.095229650827655,1026,14103.874691542434,1026.695552055826,21.274845278390462,0.003061992520929474,0.9676183720662124,2111.2809759957163,T2 紫铜,0.061665416526804746,0.05823313296785212,0.4856867177567249
66,4,69.4017603255163,0.005544892009814467,6056487.697499761,32764.03506465323,13.579151530931236,1020,12112.975394999523,1020.1100900383312,22.1981903840856,0.0014711465505350965,4.073745459279371,2436.5394355102367,AISI 1040 碳钢,0.06251615818083378,0.05353158374268552,0.46128931813223256
67,4,51.930414539353976,0.005933036416112653,5918863.65080786,33536.21009531657,16.107464688849852,1018,11837.727301615721,1018.426861840787,23.3537771380466,0.0011007970094576974,4.832239406654955,2585.0346337147257,AISI 1040 碳钢,0.06161389019038727,0.05212598560167588,0.4582912126347976
68,4,64.17218402423778,0.005514332801860721,6015965.392119024,32703.21145857373,13.846801337127562,1020,12031.930784238048,1020.2426765695759,22.53845828696555,0.0013602924007224528,4.154040401138269,2424.8425881872554,AISI 1040 碳钢,0.06279292623323611,0.05303471311026898,0.4578761460637749
69,4,41.787550778380776,0.006188775974564375,5836031.667939721,34044.604599751714,17.676609065144646,1017,11672.063335879442,1017.3186364626539,24.049257972866187,0.0008857932550209811,5.302982719543394,2682.8028076445603,AISI 1040 碳钢,0.061241949586864824,0.05154431195504882,0.4570087814808359
70,4,47.150877622378886,0.004,5880099.725111162,29683.837417239953,10.001724709214038,1026,11760.199450222324,1026.8244686808027,23.679250095243262,0.000999482587235789,3.000517412764211,1844.1937340846068,AISI 1040 碳钢,0.06964368798746158,0.051580167562173505,0.4254951909284391
71,4,23.33223935934099,0.004950930252064393,5679801.280899855,31581.081091755077,14.854480628049135,1022,11359.602561799711,1022.6887560201473,25.361091338905513,0.0004945860636496522,4.45634418841474,2209.048286875977,AISI 1040 碳钢,0.06728385580655655,0.04972120373656212,0.4249491768194766
72,4,46.15734730398061,0.004,5871981.753907884,29683.837417239953,10.071926036188461,1026,11743.963507815766,1026.8244686808027,23.747410741119396,0.0009784221891434616,3.021577810856538,1844.1937340846068,AISI 1040 碳钢,0.06968230854581889,0.05148759807736107,0.4249206714129086
73,4,15.738720629822861,0.0051547551639937825,5613459.000435462,31987.206285736876,16.070443376578016,1021,11226.918000870925,1021.8034627238125,25.91823323816952,0.00033362215102037784,4.821133012973404,2287.1492857186304,AISI 1040 碳钢,0.06718594844843984,0.04939955336295987,0.42371952425845794
74,4,19.641684151176854,0.005004125995755478,5647707.760783589,31687.0928822975,15.29256873874714,1022,11295.415521567178,1022.4576658812186,25.630604221173602,0.00041635537413133673,4.587770621624141,2229.435169672596,AISI 1040 碳钢,0.06739029655721072,0.049530430669277925,0.42362403864741527
75,4,34.3116244811056,0.004,5773601.922459567,29683.837417239953,10.908926624633203,1026,11547.203844919133,1026.8244686808027,24.573445841377815,0.0007273220126100391,3.2726779873899607,1844.1937340846068,AISI 1040 碳钢,0.07023851711194648,0.05045386547605968,0.4180368669022658
76,4,31.990986640495677,0.0040166837070916735,5753985.419238197,29717.159268911724,11.128511688649272,1026,11507.970838476393,1026.7518319364106,24.738159315967106,0.0006781302004968913,3.338553506594782,1850.6017824830237,AISI 1040 碳钢,0.07030216091606831,0.050264057925632474,0.41690001070388893
77,4,9.589829685516799,0.004049571989389653,5558860.441763477,29782.84230975049,12.820970655232536,1026,11117.720883526954,1026.608652550844,26.376807439573184,0.0002032807928198924,3.8462911965697604,1863.2331364904787,AISI 1040 碳钢,0.07180124833743935,0.04879034617104139,0.4045916000191054
78,4,5.0,0.004110849002553139,5517594.593321529,29905.208963276695,13.349537684791546,1026,11035.189186643058,1026.3419112118013,26.7234407807409,0.00010598769711567486,4.004861305437464,1886.765185245518,AISI 1040 碳钢,0.07199335506052627,0.04857585719933148,0.40288773799598177
